iter	RMSE
0	14.01504982
1	13.68591371
2	13.38234035
3	13.1018409
4	12.83904461
5	12.59779224
6	12.3749435
7	12.16833898
8	11.97662694
9	11.80125667
10	11.63814237
11	11.48919762
12	11.35375859
13	11.22634447
14	11.10919349
15	11.0027872
16	10.90292063
17	10.81220492
18	10.72894335
19	10.65212586
20	10.58188653
21	10.5165799
22	10.45608006
23	10.40164868
24	10.35142783
25	10.30577303
26	10.26237162
27	10.22309599
28	10.18707394
29	10.15340082
30	10.12288752
31	10.09520616
32	10.06849529
33	10.04440265
34	10.02240934
35	10.0017003
36	9.982086106
37	9.964391283
38	9.948368851
39	9.933382899
40	9.920344322
41	9.907540932
42	9.895427315
43	9.884447534
44	9.873995472
45	9.863788038
46	9.854829999
47	9.847076974
48	9.839587623
49	9.831931772
50	9.824790508
51	9.817912557
52	9.811416138
53	9.805425748
54	9.799643675
55	9.794418272
56	9.789585183
57	9.785225021
58	9.780872312
59	9.776524811
60	9.772616312
61	9.768829322
62	9.76528145
63	9.761892734
64	9.758881104
65	9.755941655
66	9.753302895
67	9.75072262
68	9.748051143
69	9.745480795
70	9.743072035
71	9.74087254
72	9.738675947
73	9.736240958
74	9.73410413
75	9.732056746
76	9.730139294
77	9.728287603
78	9.726816202
79	9.72505499
80	9.723645488
81	9.722193806
82	9.720735477
83	9.719356746
84	9.718235839
85	9.717020211
86	9.715710583
87	9.714435219
88	9.713226686
89	9.7121028
90	9.711062078
91	9.709900834
92	9.708793226
93	9.70781161
94	9.706793911
95	9.705976114
96	9.704994212
97	9.704037596
98	9.703114987
99	9.702226776
100	9.701433606
101	9.700458446
102	9.699738288
103	9.698972967
104	9.698105606
105	9.6973648
106	9.696748683
107	9.695849649
108	9.695022586
109	9.694356258
110	9.693815046
111	9.693137635
112	9.69263277
113	9.692004213
114	9.69149853
115	9.690827407
116	9.690213909
117	9.689657288
118	9.689098358
119	9.688652482
120	9.688188748
121	9.687699185
122	9.687255142
123	9.686805005
124	9.686159368
125	9.685729299
126	9.685199753
127	9.684724845
128	9.684163732
129	9.683509566
130	9.683119627
131	9.682749797
132	9.682453999
133	9.682101231
134	9.681744274
135	9.681156405
136	9.680742064
137	9.680356192
138	9.680029555
139	9.679504635
140	9.67917721
141	9.678742272
142	9.678433436
143	9.678004163
144	9.677689224
145	9.67734996
146	9.676892144
147	9.676587808
148	9.676313859
149	9.676055101
150	9.675783417
151	9.675431927
152	9.675005181
153	9.674704966
154	9.674305551
155	9.674013675
156	9.673736993
157	9.673328036
158	9.673025108
159	9.672780706
160	9.672593315
161	9.672340539
162	9.672159221
163	9.671961934
164	9.671737653
165	9.671381834
166	9.671126746
167	9.670931719
168	9.670599061
169	9.670318479
170	9.669955384
171	9.669674403
172	9.669340941
173	9.669069829
174	9.668854227
175	9.668696039
176	9.668340108
177	9.668145405
178	9.667847639
179	9.667500423
180	9.667343355
181	9.66706496
182	9.666899898
183	9.666649255
184	9.666307702
185	9.665899192
186	9.665557612
187	9.665202707
188	9.664744315
189	9.66447003
190	9.664126498
191	9.663923721
192	9.663772681
193	9.663590061
194	9.663421515
195	9.663284925
196	9.663107242
197	9.662758334
198	9.662550582
199	9.662379734
200	9.66208864
201	9.661819227
202	9.661681473
203	9.661480547
204	9.661087816
205	9.660951194
206	9.660790974
207	9.660661959
208	9.660366626
209	9.660096785
210	9.659913714
211	9.659682302
212	9.659427667
213	9.659126206
214	9.658776774
215	9.658547999
216	9.658348531
217	9.658168092
218	9.657938542
219	9.6577718
220	9.657577265
221	9.657443258
222	9.657179806
223	9.657043129
224	9.656516959
225	9.656288131
226	9.655937073
227	9.655657588
228	9.655479003
229	9.655089836
230	9.654834317
231	9.654523574
232	9.654269564
233	9.653980129
234	9.653787802
235	9.653547483
236	9.65336048
237	9.653262597
238	9.652947232
239	9.652777357
240	9.652578912
241	9.652361037
242	9.652200294
243	9.65190813
244	9.65169443
245	9.651492916
246	9.651364157
247	9.651077302
248	9.650855583
249	9.650706625
250	9.6503927
251	9.650160298
252	9.649866168
253	9.649657757
254	9.649422288
255	9.649249303
256	9.649107941
257	9.648918566
258	9.648754717
259	9.648479596
260	9.6482441
261	9.64801317
262	9.647818438
263	9.647645424
264	9.647416004
265	9.647292527
266	9.647017365
267	9.646710562
268	9.646432334
269	9.646245193
270	9.646084348
271	9.645883097
272	9.645729869
273	9.645462668
274	9.645315913
275	9.645179449
276	9.645004863
277	9.644855052
278	9.644732304
279	9.644474224
280	9.644110155
281	9.643925256
282	9.643711379
283	9.643471954
284	9.64328323
285	9.64309374
286	9.642945424
287	9.642810451
288	9.642674714
289	9.642521435
290	9.642392938
291	9.642219064
292	9.641890755
293	9.641668825
294	9.641459092
295	9.641333632
296	9.641135333
297	9.640926733
298	9.64074368
299	9.640558717
