iter	Passed	Remaining
0	10	3034
1	19	2839
2	26	2577
3	34	2522
4	41	2476
5	48	2388
6	57	2403
7	64	2337
8	72	2348
9	80	2335
10	88	2337
11	97	2329
12	105	2325
13	111	2287
14	119	2278
15	126	2244
16	135	2249
17	142	2224
18	149	2216
19	158	2214
20	166	2206
21	173	2197
22	181	2186
23	189	2184
24	197	2172
25	206	2171
26	213	2157
27	221	2153
28	228	2136
29	238	2143
30	246	2135
31	256	2144
32	266	2154
33	274	2149
34	282	2139
35	289	2125
36	297	2111
37	304	2100
38	312	2089
39	320	2084
40	329	2080
41	337	2072
42	344	2061
43	354	2060
44	360	2044
45	370	2045
46	380	2046
47	387	2032
48	394	2019
49	404	2022
50	411	2011
51	429	2047
52	436	2033
53	444	2025
54	451	2013
55	458	1998
56	467	1992
57	474	1980
58	482	1972
59	489	1958
60	497	1950
61	504	1937
62	511	1925
63	518	1912
64	526	1904
65	536	1900
66	547	1904
67	554	1891
68	561	1879
69	568	1867
70	575	1856
71	582	1845
72	589	1833
73	597	1823
74	605	1815
75	612	1806
76	620	1796
77	629	1790
78	638	1786
79	645	1776
80	652	1764
81	659	1754
82	666	1743
83	675	1736
84	684	1731
85	693	1726
86	700	1715
87	707	1705
88	719	1705
89	728	1699
90	734	1687
91	742	1678
92	749	1668
93	756	1657
94	763	1647
95	770	1636
96	778	1629
97	785	1619
98	793	1610
99	800	1600
100	807	1591
101	814	1581
102	822	1572
103	829	1562
104	837	1555
105	845	1547
106	852	1538
107	860	1529
108	867	1519
109	874	1510
110	881	1501
111	888	1491
112	895	1482
113	903	1474
114	910	1464
115	918	1456
116	925	1447
117	932	1438
118	939	1429
119	945	1418
120	954	1411
121	961	1402
122	969	1394
123	975	1384
124	981	1374
125	989	1365
126	995	1356
127	1003	1348
128	1010	1338
129	1017	1330
130	1024	1321
131	1030	1312
132	1038	1304
133	1045	1295
134	1057	1292
135	1067	1286
136	1073	1277
137	1081	1269
138	1089	1261
139	1096	1252
140	1103	1244
141	1110	1235
142	1117	1227
143	1124	1218
144	1132	1210
145	1153	1216
146	1161	1208
147	1168	1200
148	1176	1191
149	1183	1183
150	1190	1174
151	1198	1166
152	1204	1157
153	1211	1148
154	1218	1140
155	1225	1131
156	1232	1122
157	1238	1113
158	1246	1105
159	1253	1096
160	1260	1088
161	1267	1080
162	1274	1071
163	1281	1062
164	1288	1054
165	1296	1046
166	1303	1038
167	1311	1030
168	1318	1022
169	1325	1013
170	1332	1004
171	1344	1000
172	1351	992
173	1358	984
174	1366	975
175	1373	967
176	1380	959
177	1388	951
178	1395	943
179	1402	934
180	1409	926
181	1416	918
182	1423	910
183	1431	902
184	1437	893
185	1445	886
186	1453	878
187	1460	870
188	1467	861
189	1474	853
190	1484	847
191	1495	841
192	1505	834
193	1513	827
194	1520	818
195	1527	810
196	1534	802
197	1542	794
198	1549	786
199	1557	778
200	1564	770
201	1574	763
202	1581	755
203	1588	747
204	1596	739
205	1603	731
206	1611	723
207	1617	715
208	1625	707
209	1634	700
210	1642	692
211	1649	684
212	1657	676
213	1664	668
214	1671	660
215	1679	653
216	1686	644
217	1693	636
218	1700	628
219	1707	621
220	1715	613
221	1722	605
222	1730	597
223	1737	589
224	1744	581
225	1751	573
226	1759	565
227	1766	557
228	1773	549
229	1781	542
230	1788	534
231	1795	526
232	1802	518
233	1809	510
234	1816	502
235	1824	494
236	1831	486
237	1838	478
238	1844	470
239	1852	463
240	1859	455
241	1866	447
242	1873	439
243	1881	431
244	1888	423
245	1895	416
246	1903	408
247	1910	400
248	1918	392
249	1925	385
250	1934	377
251	1941	369
252	1948	362
253	1956	354
254	1963	346
255	1970	338
256	1977	330
257	1985	323
258	1992	315
259	1999	307
260	2006	299
261	2013	291
262	2020	284
263	2026	276
264	2034	268
265	2041	260
266	2048	253
267	2055	245
268	2062	237
269	2069	229
270	2076	222
271	2083	214
272	2090	206
273	2097	199
274	2104	191
275	2111	183
276	2119	175
277	2126	168
278	2134	160
279	2141	152
280	2149	145
281	2156	137
282	2164	129
283	2170	122
284	2177	114
285	2185	106
286	2192	99
287	2199	91
288	2206	83
289	2214	76
290	2221	68
291	2230	61
292	2237	53
293	2244	45
294	2251	38
295	2258	30
296	2265	22
297	2272	15
298	2280	7
299	2287	0
