track_name,artist_name,release_date,popularity,danceability,energy,loudness,tempo,instrumentalness,key,mode,release_year,release_month,duration_s
Song 0,Artist 0,2015-01-01,61.01005,0.3289116,0.95103854,-11.654537,106.63049,0.055283036,8,0,2015,1,265.503
Song 1,Artist 1,2025-12-31,61.01005,0.51603025,0.7898728,-5.0138445,181.61456,0.0025015152,11,0,2025,12,189.023
Song 2,Artist 2,2015-01-01,61.01005,0.8740799,0.46206048,-3.4342096,95.62363,0.060387798,8,1,2015,1,189.941
Song 3,Artist 3,2015-01-01,61.01005,0.6002407,0.64121634,-1.4519136,183.15892,0.014531646,2,1,2015,1,271.677
Song 4,Artist 4,2015-01-01,61.01005,0.5596375,0.83736354,-4.470684,121.04664,0.07985409,3,1,2015,1,226.054
Song 5,Artist 5,2025-12-31,61.01005,0.57461977,0.8678925,-3.5114844,78.73467,0.08565682,4,0,2025,12,215.363
Song 6,Artist 6,2015-01-01,61.01005,0.42532963,0.47093117,-8.740049,161.04237,0.04820935,5,0,2015,1,211.742
Song 7,Artist 7,2015-01-01,61.01005,0.5212243,0.40001842,-10.469248,123.77704,0.07832214,8,0,2015,1,195.215
Song 8,Artist 8,2015-01-01,61.01005,0.52188796,0.82728225,-4.449762,145.53372,0.014511074,10,0,2015,1,197.857
Song 9,Artist 9,2025-12-31,61.01005,0.331413,0.6139577,-5.746958,156.71568,0.049207818,11,0,2025,12,205.476
Song 10,Artist 10,2015-01-01,61.01005,0.7605406,0.5526888,-6.6776667,130.13867,0.039394427,3,1,2015,1,290.467
Song 11,Artist 11,2015-01-01,47.15874,0.5499027,0.40773848,-5.8378854,102.23277,0.061131738,5,1,2015,1,209.768
Song 12,Artist 12,2015-01-01,61.073494,0.79330796,0.7241796,-6.0304437,149.27141,0.004447719,0,1,2015,1,253.591
Song 13,Artist 13,2015-01-01,52.835136,0.8102088,0.9106904,-3.1485493,120.02267,0.075212285,1,0,2015,1,196.229
Song 14,Artist 14,2025-12-31,67.1847,0.42719644,0.974579,-3.1150432,140.57573,0.007912929,7,1,2025,12,261.706
Song 15,Artist 15,2015-01-01,65.00493,0.6944121,0.739447,-5.367339,55.388084,0.065647155,3,1,2015,1,212.583
Song 16,Artist 16,2025-12-31,75.5631,0.5833691,0.7086768,-4.462591,133.40945,0.0018457226,9,0,2025,12,276.011
Song 17,Artist 17,2025-12-31,52.349754,0.82809407,0.45103383,-5.4578123,100.84242,0.08318881,6,0,2025,12,180.104
Song 18,Artist 18,2025-12-31,55.951878,0.4294444,0.7293237,-8.38351,169.59929,0.017469963,3,0,2025,12,187.594
Song 19,Artist 19,2015-01-01,45.318542,0.7066879,0.62798744,-4.730306,138.69263,0.051549748,8,1,2015,1,153.664
Song 20,Artist 20,2025-12-31,53.3356,0.6646513,0.76428115,-11.183485,127.19573,0.02614929,8,0,2025,12,160.528
Song 21,Artist 21,2015-01-01,65.65951,0.4771809,0.6332358,-3.8383253,134.5893,0.07226472,3,1,2015,1,278.404
Song 22,Artist 22,2025-12-31,71.35483,0.38196054,0.5441795,-10.583569,90.046776,0.03213511,7,1,2025,12,182.899
Song 23,Artist 23,2025-12-31,46.16752,0.69098383,0.45697916,-6.14259,168.69771,0.07246092,5,0,2025,12,220.979
Song 24,Artist 24,2025-12-31,73.04409,0.74315846,0.58895105,-9.535461,179.74112,0.02848712,0,1,2025,12,167.241
Song 25,Artist 25,2025-12-31,80.334564,0.4893764,0.4579869,-5.3398333,131.7874,0.07524731,6,0,2025,12,196.211
Song 26,Artist 26,2025-12-31,66.20152,0.68689954,0.50613815,-7.1017756,167.71211,0.0030605497,0,0,2025,12,213.472
Song 27,Artist 27,2025-12-31,88.15194,0.53707856,0.9924017,-11.784267,102.92555,0.028331134,2,1,2025,12,181.346
Song 28,Artist 28,2025-12-31,48.39316,0.7279241,0.6664621,-5.737901,96.08659,0.04986335,7,1,2025,12,231.196
Song 29,Artist 29,2025-12-31,41.33018,0.41952917,0.71912307,-8.733763,121.227745,0.0045059584,8,1,2025,12,254.451
Song 30,Artist 30,2015-01-01,33.319195,0.834129,0.9241711,-4.3565598,133.04823,0.018603407,2,0,2015,1,252.908
Song 31,Artist 31,2015-01-01,82.44067,0.47244576,0.99734133,-6.9960227,108.1804,0.0934537,0,1,2015,1,299.014
Song 32,Artist 32,2025-12-31,69.81548,0.5206716,0.74962866,-5.813737,136.13304,0.09768343,0,0,2025,12,199.167
Song 33,Artist 33,2025-12-31,59.16623,0.33485517,0.8874843,-9.872706,129.19168,0.073975,6,0,2025,12,186.373
Song 34,Artist 34,2025-12-31,64.19953,0.36690733,0.59616464,-8.767997,90.0508,0.025220005,4,1,2025,12,217.143
Song 35,Artist 35,2015-01-01,43.117664,0.60951716,0.5834464,-8.375916,135.5638,0.026051745,0,1,2015,1,270.623
Song 36,Artist 36,2025-12-31,96.68628,0.4605556,0.64162225,-4.4298925,145.90585,0.06457903,5,1,2025,12,260.013
Song 37,Artist 37,2015-01-01,61.938316,0.8012881,0.80350435,-1.9678687,125.14408,0.011759962,5,1,2015,1,152.016
Song 38,Artist 38,2015-01-01,61.640923,0.30881605,0.809315,-9.415515,154.57944,0.09483094,3,0,2015,1,219.11
Song 39,Artist 39,2015-01-01,70.8865,0.5274564,0.58914363,-3.7694557,83.47788,0.02248129,6,1,2015,1,157.274
Song 40,Artist 40,2015-01-01,67.21514,0.5024073,0.47992596,-13.509032,134.03851,0.09996356,6,0,2015,1,165.748
Song 41,Artist 41,2015-01-01,63.35826,0.31159657,0.7794378,-10.582568,84.89158,0.04957338,11,1,2015,1,161.826
Song 42,Artist 42,2025-12-31,48.142883,0.37462103,0.47699553,-9.876335,86.57756,0.077143,8,1,2025,12,233.008
Song 43,Artist 43,2025-12-31,67.07203,0.5481856,0.7470955,-11.057526,101.072075,0.00021840945,11,1,2025,12,279.288
Song 44,Artist 44,2025-12-31,88.23037,0.59571874,0.8160533,-11.750765,91.7382,0.08887464,0,0,2025,12,255.623
Song 45,Artist 45,2025-12-31,80.1813,0.54257387,0.8203669,-5.7610035,103.56013,0.027000204,4,1,2025,12,289.592
Song 46,Artist 46,2025-12-31,83.8978,0.6185626,0.85208327,-7.6422033,113.57549,0.06679367,9,0,2025,12,233.106
Song 47,Artist 47,2015-01-01,52.331764,0.657079,0.92371565,-5.861784,145.11464,0.080635525,2,1,2015,1,204.638
Song 48,Artist 48,2025-12-31,45.15593,0.3059543,0.6999754,-4.9285817,110.36523,0.016414775,6,1,2025,12,219.072
Song 49,Artist 49,2025-12-31,58.113197,0.5784571,0.8381495,-6.203149,72.43123,0.044250946,3,0,2025,12,217.309
Song 50,Artist 50,2015-01-01,60.835873,0.87809956,0.7715036,-5.0267105,154.20204,0.049383596,3,0,2015,1,274.724
Song 51,Artist 51,2025-12-31,76.41287,0.6114194,0.511984,-7.2085967,94.8873,0.031211946,11,1,2025,12,277.843
Song 52,Artist 52,2015-01-01,34.61303,0.7065254,0.4154138,-10.56098,118.23839,0.048175585,0,1,2015,1,185.326
Song 53,Artist 53,2025-12-31,82.94325,0.4871183,0.57072484,-3.8265574,133.39609,0.031754564,0,0,2025,12,155.079
Song 54,Artist 54,2015-01-01,57.629883,0.7643948,0.66582024,-8.767337,125.98831,0.036074776,9,1,2015,1,271.412
Song 55,Artist 55,2025-12-31,53.596783,0.7637529,0.77026355,-9.806788,152.8254,0.06693312,1,0,2025,12,237.34
Song 56,Artist 56,2025-12-31,44.818436,0.61277765,0.9099756,-7.5337534,134.3701,0.063259326,1,1,2025,12,235.211
Song 57,Artist 57,2015-01-01,35.17715,0.8856083,0.5177474,-9.738433,94.16071,0.023226572,0,0,2015,1,192.749
Song 58,Artist 58,2015-01-01,72.34756,0.37533012,0.47532988,-8.252291,185.35687,0.089748286,7,0,2015,1,268.192
Song 59,Artist 59,2015-01-01,61.09977,0.3101686,0.97808796,-5.9678383,125.83,0.086278856,5,0,2015,1,224.534
Song 60,Artist 60,2015-01-01,40.650585,0.7620949,0.46482673,-5.9549747,115.579796,0.05090833,5,0,2015,1,229.233
Song 61,Artist 61,2015-01-01,40.57382,0.7842933,0.6870946,-9.69349,148.91776,0.043325074,9,0,2015,1,201.818
Song 62,Artist 62,2015-01-01,54.96323,0.37212434,0.75133824,-8.463116,127.48353,0.0376856,9,1,2015,1,261.91
Song 63,Artist 63,2015-01-01,85.035324,0.4593497,0.72482467,-3.777001,131.97685,0.07072679,8,1,2015,1,163.429
